Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases,Total Previous Spending
22,31,Male,Pants,Clothing,62.0,North Carolina,M,Charcoal,Winter,4.1,Yes,Credit Card,Store Pickup,Yes,Yes,22.0,Debit Card,Quarterly,1364.0
23,56,Male,Pants,Clothing,37.0,California,M,Peach,Summer,3.7,Yes,Cash,Store Pickup,Yes,Yes,32.0,Debit Card,Annually,1184.0
24,31,Male,Pants,Clothing,88.0,Oklahoma,XL,White,Winter,4.4,Yes,Credit Card,Express,Yes,Yes,40.0,Credit Card,Weekly,3520.0
25,18,Male,Jacket,Outerwear,22.0,Florida,M,Green,Fall,2.9,Yes,Cash,Store Pickup,Yes,Yes,16.0,Debit Card,Weekly,352.0
26,18,Male,Hoodie,Clothing,25.0,Texas,M,Silver,Summer,3.6,Yes,Bank Transfer,Express,Yes,Yes,14.0,PayPal,Annually,350.0
27,38,Male,Jewelry,Accessories,20.0,Nevada,M,Red,Spring,3.6,Yes,Cash,Next Day Air,Yes,Yes,13.0,Credit Card,Annually,260.0
28,56,Male,Shorts,Clothing,56.0,Kentucky,L,Cyan,Summer,5.0,Yes,Debit Card,Next Day Air,Yes,Yes,7.0,Bank Transfer,Every 3 Months,392.0
29,54,Male,Handbag,Accessories,94.0,North Carolina,M,Gray,Fall,4.4,Yes,Debit Card,Free Shipping,Yes,Yes,41.0,PayPal,Every 3 Months,3854.0
30,31,Male,Dress,Clothing,48.0,Wyoming,S,Black,Fall,4.1,Yes,Venmo,Store Pickup,Yes,Yes,14.0,Credit Card,Weekly,672.0
31,57,Male,Jewelry,Accessories,31.0,North Carolina,L,Black,Winter,4.7,Yes,Bank Transfer,Standard,Yes,Yes,16.0,Credit Card,Monthly,496.0
32,33,Male,Dress,Clothing,79.0,West Virginia,L,Brown,Winter,4.7,Yes,Venmo,Store Pickup,Yes,Yes,45.0,Venmo,Monthly,3555.0
33,36,Male,Jacket,Outerwear,67.0,Kansas,M,Silver,Summer,4.9,Yes,Bank Transfer,Free Shipping,Yes,Yes,37.0,Venmo,Annually,2479.0
34,54,Male,Pants,Clothing,60.0,Colorado,L,Green,Summer,3.3,Yes,Venmo,Store Pickup,Yes,Yes,45.0,Cash,Quarterly,2700.0
35,36,Male,T-shirt,Clothing,91.0,North Dakota,L,Violet,Spring,4.6,Yes,Debit Card,2-Day Shipping,Yes,Yes,38.0,PayPal,Quarterly,3458.0
36,54,Male,Blouse,Clothing,33.0,Massachusetts,M,Cyan,Summer,4.0,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,48.0,Credit Card,Bi-Weekly,1584.0
37,35,Male,T-shirt,Clothing,69.0,Illinois,M,Maroon,Winter,4.6,Yes,Cash,Free Shipping,Yes,Yes,44.0,PayPal,Fortnightly,3036.0
38,35,Male,Jeans,Clothing,45.0,Indiana,S,Cyan,Summer,2.8,Yes,Debit Card,Store Pickup,Yes,Yes,10.0,PayPal,Weekly,450.0
39,29,Male,Dress,Clothing,37.0,Florida,M,Red,Winter,3.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,44.0,Venmo,Every 3 Months,1628.0
40,70,Male,Pants,Clothing,60.0,Arizona,S,Turquoise,Summer,4.2,Yes,Bank Transfer,Express,Yes,Yes,18.0,Credit Card,Monthly,1080.0
41,69,Male,Handbag,Accessories,76.0,Louisiana,L,Beige,Winter,4.6,Yes,PayPal,Next Day Air,Yes,Yes,31.0,Debit Card,Quarterly,2356.0
42,67,Male,Scarf,Accessories,39.0,Alaska,M,Orange,Spring,4.5,Yes,Cash,Standard,Yes,Yes,40.0,Venmo,Annually,1560.0
43,20,Male,Coat,Outerwear,100.0,Tennessee,M,Beige,Spring,4.1,Yes,Bank Transfer,Free Shipping,Yes,Yes,15.0,PayPal,Annually,1500.0
44,25,Male,Scarf,Accessories,69.0,Ohio,L,Lavender,Fall,3.7,Yes,PayPal,Store Pickup,Yes,Yes,19.0,PayPal,Fortnightly,1311.0
45,39,Male,Hat,Accessories,53.0,Kentucky,S,Silver,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,45.0,PayPal,Weekly,2385.0
46,50,Male,Socks,Clothing,21.0,Tennessee,XL,Indigo,Fall,2.9,Yes,Venmo,2-Day Shipping,Yes,Yes,25.0,PayPal,Annually,525.0
47,57,Male,Shirt,Clothing,43.0,California,L,White,Summer,2.9,Yes,Venmo,Store Pickup,Yes,Yes,45.0,Cash,Quarterly,1935.0
48,55,Male,Jewelry,Accessories,54.0,Montana,M,Charcoal,Winter,4.5,Yes,Debit Card,Free Shipping,Yes,Yes,36.0,Cash,Weekly,1944.0
49,42,Male,Shirt,Clothing,55.0,Nevada,M,Orange,Summer,2.7,Yes,Debit Card,Store Pickup,Yes,Yes,38.0,Cash,Monthly,2090.0
50,68,Male,Hoodie,Clothing,30.0,New Jersey,S,Indigo,Spring,4.6,Yes,Bank Transfer,Next Day Air,Yes,Yes,34.0,Debit Card,Bi-Weekly,1020.0
51,49,Male,Blouse,Clothing,28.0,Maryland,M,Red,Spring,3.7,Yes,Cash,Store Pickup,Yes,Yes,39.0,Debit Card,Bi-Weekly,1092.0
52,59,Male,Skirt,Clothing,59.0,Vermont,XL,Gray,Winter,4.7,Yes,PayPal,2-Day Shipping,Yes,Yes,7.0,Credit Card,Quarterly,413.0
53,42,Male,T-shirt,Clothing,20.0,Alaska,M,Green,Summer,2.6,Yes,Credit Card,Free Shipping,Yes,Yes,26.0,Credit Card,Weekly,520.0
54,29,Male,Skirt,Clothing,24.0,Mississippi,S,Peach,Winter,3.9,Yes,Debit Card,Next Day Air,Yes,Yes,35.0,Credit Card,Weekly,840.0
55,47,Male,Coat,Outerwear,94.0,New Mexico,M,Brown,Summer,4.2,Yes,Bank Transfer,Next Day Air,Yes,Yes,35.0,Debit Card,Bi-Weekly,3290.0
56,40,Male,Jacket,Outerwear,28.0,South Carolina,M,Lavender,Winter,3.0,Yes,Venmo,2-Day Shipping,Yes,Yes,49.0,Credit Card,Annually,1372.0
57,41,Male,Backpack,Accessories,73.0,Mississippi,XL,Brown,Summer,4.7,Yes,PayPal,Store Pickup,Yes,Yes,46.0,Credit Card,Weekly,3358.0
58,21,Male,Coat,Outerwear,64.0,West Virginia,M,White,Summer,4.4,Yes,PayPal,Store Pickup,Yes,Yes,17.0,Debit Card,Fortnightly,1088.0
59,69,Male,Hoodie,Clothing,54.0,Missouri,M,Charcoal,Summer,4.2,Yes,Credit Card,Free Shipping,Yes,Yes,29.0,Venmo,Monthly,1566.0
60,63,Male,Belt,Accessories,79.0,Louisiana,L,Yellow,Spring,4.6,Yes,Debit Card,Standard,Yes,Yes,4.0,Debit Card,Weekly,316.0
61,50,Male,Sweater,Clothing,37.0,Idaho,L,Brown,Summer,4.0,Yes,Credit Card,Express,Yes,Yes,17.0,Cash,Weekly,629.0
62,55,Male,Scarf,Accessories,68.0,Texas,M,Orange,Winter,4.7,Yes,Bank Transfer,Store Pickup,Yes,Yes,21.0,Credit Card,Every 3 Months,1428.0
63,30,Male,Sneakers,Footwear,21.0,Mississippi,S,Magenta,Spring,3.8,Yes,Credit Card,Free Shipping,Yes,Yes,31.0,Credit Card,Fortnightly,651.0
64,33,Male,Sunglasses,Accessories,79.0,Arizona,L,Lavender,Winter,2.7,Yes,Credit Card,2-Day Shipping,Yes,Yes,43.0,Credit Card,Weekly,3397.0
65,65,Male,Boots,Footwear,83.0,Alabama,S,Green,Fall,4.8,Yes,PayPal,Standard,Yes,Yes,18.0,Debit Card,Fortnightly,1494.0
66,65,Male,Backpack,Accessories,60.0,New Jersey,M,Purple,Spring,4.8,Yes,Credit Card,2-Day Shipping,Yes,Yes,44.0,Venmo,Every 3 Months,2640.0
67,31,Male,Blouse,Clothing,94.0,Pennsylvania,S,Magenta,Winter,4.7,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,3.0,Venmo,Every 3 Months,282.0
68,45,Male,Coat,Outerwear,33.0,Connecticut,L,Gray,Winter,4.4,Yes,PayPal,Store Pickup,Yes,Yes,49.0,Debit Card,Monthly,1617.0
69,57,Male,Handbag,Accessories,46.0,Utah,L,Silver,Summer,3.9,Yes,Credit Card,Next Day Air,Yes,Yes,21.0,Cash,Every 3 Months,966.0
70,48,Male,Belt,Accessories,70.0,Tennessee,S,Cyan,Summer,4.4,Yes,Credit Card,Express,Yes,Yes,5.0,Cash,Weekly,350.0
71,22,Male,Belt,Accessories,29.0,Alabama,M,Magenta,Fall,4.2,Yes,Credit Card,Express,Yes,Yes,32.0,Debit Card,Every 3 Months,928.0
72,36,Male,Dress,Clothing,48.0,Virginia,L,Gold,Summer,2.9,Yes,Debit Card,Express,Yes,Yes,34.0,Bank Transfer,Annually,1632.0
73,18,Male,Dress,Clothing,26.0,Georgia,M,Olive,Winter,2.9,Yes,Debit Card,Store Pickup,Yes,Yes,21.0,Bank Transfer,Every 3 Months,546.0
74,48,Male,Pants,Clothing,85.0,Hawaii,M,Teal,Spring,2.7,Yes,Debit Card,Free Shipping,Yes,Yes,43.0,Bank Transfer,Bi-Weekly,3655.0
75,49,Male,Gloves,Accessories,58.0,Indiana,L,Violet,Spring,4.5,Yes,PayPal,Express,Yes,Yes,3.0,Cash,Monthly,174.0
76,64,Male,Scarf,Accessories,85.0,Utah,M,Blue,Summer,2.7,Yes,Debit Card,Free Shipping,Yes,Yes,21.0,Credit Card,Annually,1785.0
77,50,Male,Hat,Accessories,43.0,Delaware,S,Teal,Summer,4.2,Yes,Bank Transfer,Free Shipping,Yes,Yes,32.0,Venmo,Monthly,1376.0
78,22,Male,Dress,Clothing,53.0,Delaware,L,Gold,Summer,3.3,Yes,Debit Card,Next Day Air,Yes,Yes,36.0,Debit Card,Fortnightly,1908.0
79,50,Male,Skirt,Clothing,60.0,Nebraska,M,Maroon,Spring,4.7,Yes,Venmo,Free Shipping,Yes,Yes,50.0,Venmo,Fortnightly,3000.0
80,38,Male,Jacket,Outerwear,96.0,Iowa,M,Olive,Winter,2.6,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,43.0,Bank Transfer,Every 3 Months,4128.0
81,19,Male,Sandals,Footwear,72.0,New York,XL,Blue,Summer,3.3,Yes,Credit Card,Store Pickup,Yes,Yes,24.0,Credit Card,Every 3 Months,1728.0
82,67,Male,Shoes,Footwear,96.0,Virginia,L,Maroon,Summer,2.6,Yes,PayPal,Express,Yes,Yes,36.0,Credit Card,Every 3 Months,3456.0
83,19,Male,Pants,Clothing,28.0,Georgia,S,Olive,Spring,4.0,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,21.0,Credit Card,Every 3 Months,588.0
84,36,Male,Dress,Clothing,40.0,Texas,M,Turquoise,Summer,4.1,Yes,Debit Card,Standard,Yes,Yes,34.0,Bank Transfer,Weekly,1360.0
85,52,Male,Coat,Outerwear,32.0,Arizona,S,Peach,Spring,4.4,Yes,Cash,Standard,Yes,Yes,42.0,Bank Transfer,Every 3 Months,1344.0
86,53,Male,Sunglasses,Accessories,95.0,New Mexico,M,Charcoal,Winter,4.5,Yes,Credit Card,Next Day Air,Yes,Yes,2.0,Debit Card,Bi-Weekly,190.0
87,24,Male,Hoodie,Clothing,41.0,Nevada,L,Pink,Spring,3.7,Yes,Venmo,2-Day Shipping,Yes,Yes,47.0,Cash,Bi-Weekly,1927.0
88,52,Male,Shoes,Footwear,53.0,Ohio,M,Green,Fall,3.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,44.0,Debit Card,Fortnightly,2332.0
89,33,Male,T-shirt,Clothing,47.0,Wyoming,M,Orange,Fall,3.5,Yes,Credit Card,Free Shipping,Yes,Yes,35.0,Credit Card,Monthly,1645.0
90,47,Male,Jacket,Outerwear,83.0,California,XL,Pink,Fall,3.6,Yes,Bank Transfer,Next Day Air,Yes,Yes,15.0,Cash,Quarterly,1245.0
91,25,Male,Hat,Accessories,48.0,South Carolina,L,Violet,Summer,2.9,Yes,Venmo,Express,Yes,Yes,29.0,Credit Card,Monthly,1392.0
92,44,Male,Scarf,Accessories,99.0,South Carolina,S,Green,Winter,4.6,Yes,PayPal,Standard,Yes,Yes,18.0,Credit Card,Every 3 Months,1782.0
93,61,Male,Jacket,Outerwear,87.0,Texas,M,Olive,Winter,4.4,Yes,Cash,2-Day Shipping,Yes,Yes,13.0,Venmo,Every 3 Months,1131.0
94,37,Male,Sweater,Clothing,62.0,Florida,M,Purple,Fall,4.5,Yes,PayPal,Standard,Yes,Yes,46.0,Credit Card,Weekly,2852.0
95,58,Male,Skirt,Clothing,76.0,Nevada,S,Silver,Spring,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,28.0,Credit Card,Weekly,2128.0
96,37,Male,Sneakers,Footwear,100.0,Missouri,L,Pink,Fall,3.8,Yes,PayPal,Free Shipping,Yes,Yes,48.0,PayPal,Monthly,4800.0
97,32,Male,Gloves,Accessories,73.0,Delaware,S,Gold,Spring,3.6,Yes,Venmo,Express,Yes,Yes,43.0,Venmo,Every 3 Months,3139.0
98,21,Male,Shoes,Footwear,92.0,Virginia,M,Teal,Winter,4.8,Yes,PayPal,Store Pickup,Yes,Yes,37.0,Cash,Annually,3404.0
99,20,Male,Jeans,Clothing,67.0,New York,XL,Teal,Spring,2.6,Yes,Cash,Next Day Air,Yes,Yes,20.0,Bank Transfer,Annually,1340.0
100,26,Male,Hoodie,Clothing,40.0,Missouri,XL,Indigo,Summer,3.7,Yes,Cash,Express,Yes,Yes,33.0,Debit Card,Quarterly,1320.0
101,62,Male,Sunglasses,Accessories,98.0,South Dakota,M,Maroon,Fall,2.7,Yes,PayPal,Express,Yes,Yes,31.0,Cash,Fortnightly,3038.0
102,27,Male,Coat,Outerwear,85.0,North Dakota,XL,White,Spring,4.6,Yes,Venmo,Express,Yes,Yes,50.0,Credit Card,Bi-Weekly,4250.0
103,51,Male,Socks,Clothing,67.0,Oklahoma,L,Violet,Winter,4.8,Yes,Credit Card,Next Day Air,Yes,Yes,35.0,Credit Card,Quarterly,2345.0
104,54,Male,Boots,Footwear,89.0,West Virginia,L,Red,Winter,4.0,Yes,Debit Card,Next Day Air,Yes,Yes,22.0,Venmo,Bi-Weekly,1958.0
105,55,Male,Sunglasses,Accessories,24.0,New Hampshire,L,Pink,Spring,4.4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,1.0,PayPal,Monthly,24.0
106,69,Male,Backpack,Accessories,96.0,New York,M,Charcoal,Fall,3.6,Yes,Bank Transfer,Next Day Air,Yes,Yes,4.0,Bank Transfer,Annually,384.0
107,64,Male,Jacket,Outerwear,35.0,Minnesota,L,White,Summer,3.7,Yes,Cash,Standard,Yes,Yes,31.0,Credit Card,Monthly,1085.0
108,28,Male,Sneakers,Footwear,67.0,Maryland,L,Olive,Winter,3.1,Yes,Cash,Next Day Air,Yes,Yes,46.0,PayPal,Fortnightly,3082.0
109,70,Male,Socks,Clothing,79.0,Montana,L,Purple,Spring,3.4,Yes,Bank Transfer,Next Day Air,Yes,Yes,32.0,Bank Transfer,Bi-Weekly,2528.0
110,58,Male,T-shirt,Clothing,85.0,Alabama,M,Violet,Spring,2.6,Yes,Cash,Next Day Air,Yes,Yes,43.0,Bank Transfer,Fortnightly,3655.0
111,56,Male,Backpack,Accessories,26.0,New York,M,Black,Summer,4.0,Yes,Bank Transfer,Standard,Yes,Yes,26.0,Venmo,Fortnightly,676.0
112,26,Male,Belt,Accessories,60.0,Massachusetts,L,Purple,Summer,5.0,Yes,PayPal,Free Shipping,Yes,Yes,9.0,Credit Card,Annually,540.0
113,37,Male,Gloves,Accessories,65.0,Florida,M,Red,Spring,4.3,Yes,Credit Card,Free Shipping,Yes,Yes,28.0,PayPal,Bi-Weekly,1820.0
114,44,Male,Hat,Accessories,54.0,New Jersey,L,Maroon,Winter,3.1,Yes,Debit Card,Next Day Air,Yes,Yes,20.0,PayPal,Quarterly,1080.0
115,70,Male,Coat,Outerwear,95.0,Massachusetts,S,Blue,Summer,3.7,Yes,Venmo,Store Pickup,Yes,Yes,9.0,Cash,Weekly,855.0
116,53,Male,Skirt,Clothing,94.0,Wyoming,M,Gray,Spring,3.7,Yes,Cash,Standard,Yes,Yes,48.0,Debit Card,Every 3 Months,4512.0
117,55,Male,Shoes,Footwear,86.0,Virginia,S,Blue,Spring,3.4,Yes,PayPal,Free Shipping,Yes,Yes,12.0,Venmo,Annually,1032.0
118,50,Male,Sandals,Footwear,32.0,South Dakota,L,Yellow,Summer,4.6,Yes,Bank Transfer,Express,Yes,Yes,29.0,Cash,Fortnightly,928.0
119,50,Male,Sweater,Clothing,45.0,Kentucky,L,Orange,Fall,4.8,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,27.0,Cash,Bi-Weekly,1215.0
120,38,Male,Coat,Outerwear,76.0,Wyoming,M,Orange,Fall,4.3,Yes,Debit Card,Express,Yes,Yes,44.0,Cash,Annually,3344.0
121,64,Male,Hat,Accessories,84.0,West Virginia,L,Red,Summer,4.0,Yes,PayPal,Express,Yes,Yes,32.0,Bank Transfer,Annually,2688.0
123,40,Male,Backpack,Accessories,40.0,Washington,L,Brown,Spring,4.8,Yes,Credit Card,2-Day Shipping,Yes,Yes,44.0,Cash,Fortnightly,1760.0
124,57,Male,Sweater,Clothing,89.0,Louisiana,L,Brown,Fall,3.1,Yes,Debit Card,Free Shipping,Yes,Yes,46.0,Cash,Weekly,4094.0
125,44,Male,Sweater,Clothing,86.0,Nevada,M,Gray,Spring,3.1,Yes,PayPal,Next Day Air,Yes,Yes,50.0,PayPal,Annually,4300.0
126,49,Male,Shorts,Clothing,54.0,California,M,Indigo,Winter,3.6,Yes,Cash,Next Day Air,Yes,Yes,45.0,Venmo,Every 3 Months,2430.0
127,43,Male,Shorts,Clothing,36.0,Mississippi,L,Pink,Spring,3.9,Yes,Bank Transfer,Store Pickup,Yes,Yes,48.0,Cash,Every 3 Months,1728.0
128,24,Male,Sweater,Clothing,89.0,Mississippi,M,Gray,Winter,4.8,Yes,Venmo,Next Day Air,Yes,Yes,26.0,Credit Card,Weekly,2314.0
129,20,Male,Scarf,Accessories,32.0,California,M,Gold,Spring,4.7,Yes,Venmo,Standard,Yes,Yes,21.0,Credit Card,Fortnightly,672.0
130,24,Male,Dress,Clothing,67.0,Pennsylvania,XL,Olive,Summer,4.2,Yes,Cash,2-Day Shipping,Yes,Yes,49.0,PayPal,Bi-Weekly,3283.0
131,44,Male,Scarf,Accessories,39.0,Kentucky,L,Violet,Fall,3.7,Yes,Credit Card,Next Day Air,Yes,Yes,13.0,PayPal,Fortnightly,507.0
132,28,Male,Skirt,Clothing,29.0,Maine,L,Indigo,Summer,3.9,Yes,PayPal,Standard,Yes,Yes,46.0,Credit Card,Weekly,1334.0
133,30,Male,Backpack,Accessories,58.0,New Mexico,M,Orange,Fall,4.7,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,42.0,PayPal,Weekly,2436.0
134,52,Male,Sweater,Clothing,65.0,Montana,M,Violet,Winter,2.5,Yes,Bank Transfer,Next Day Air,Yes,Yes,25.0,Venmo,Annually,1625.0
135,43,Male,Hat,Accessories,94.0,Texas,L,Gray,Fall,4.9,Yes,Credit Card,Store Pickup,Yes,Yes,25.0,Cash,Monthly,2350.0
136,43,Male,Sandals,Footwear,81.0,Kansas,M,Purple,Fall,4.1,Yes,PayPal,Express,Yes,Yes,12.0,PayPal,Quarterly,972.0
137,39,Male,Blouse,Clothing,86.0,South Carolina,M,White,Winter,3.3,Yes,Credit Card,Free Shipping,Yes,Yes,4.0,Debit Card,Quarterly,344.0
138,68,Male,Sneakers,Footwear,43.0,Colorado,M,Turquoise,Spring,4.7,Yes,Cash,Free Shipping,Yes,Yes,38.0,PayPal,Weekly,1634.0
139,68,Male,Skirt,Clothing,29.0,Georgia,M,Maroon,Winter,4.4,Yes,Cash,Store Pickup,Yes,Yes,42.0,Bank Transfer,Weekly,1218.0
140,49,Male,Coat,Outerwear,95.0,Florida,M,White,Fall,3.8,Yes,Debit Card,Store Pickup,Yes,Yes,30.0,Venmo,Annually,2850.0
141,63,Male,Shirt,Clothing,28.0,North Carolina,L,Yellow,Fall,3.9,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,50.0,Credit Card,Weekly,1400.0
142,56,Male,Gloves,Accessories,46.0,Virginia,M,Turquoise,Fall,4.9,Yes,PayPal,Free Shipping,Yes,Yes,45.0,PayPal,Weekly,2070.0
143,37,Male,Jacket,Outerwear,58.0,Nebraska,L,Violet,Fall,3.1,Yes,PayPal,Free Shipping,Yes,Yes,33.0,Credit Card,Fortnightly,1914.0
144,30,Male,Coat,Outerwear,48.0,Missouri,M,Beige,Fall,2.7,Yes,Bank Transfer,Store Pickup,Yes,Yes,25.0,PayPal,Quarterly,1200.0
145,19,Male,Shoes,Footwear,43.0,New Jersey,M,Silver,Fall,3.2,Yes,Credit Card,Express,Yes,Yes,25.0,Cash,Monthly,1075.0
146,24,Male,Jewelry,Accessories,95.0,Missouri,M,Teal,Fall,4.5,Yes,Venmo,Standard,Yes,Yes,44.0,Debit Card,Quarterly,4180.0
147,52,Male,Skirt,Clothing,30.0,Colorado,S,Black,Fall,4.0,Yes,Debit Card,Standard,Yes,Yes,21.0,Venmo,Fortnightly,630.0
148,63,Male,Shoes,Footwear,64.0,Idaho,M,Purple,Summer,3.5,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,31.0,Bank Transfer,Fortnightly,1984.0
149,37,Male,Gloves,Accessories,90.0,Wyoming,M,Gray,Fall,2.6,Yes,PayPal,Store Pickup,Yes,Yes,47.0,Debit Card,Annually,4230.0
150,38,Male,Pants,Clothing,76.0,Delaware,M,White,Summer,3.7,Yes,Venmo,Free Shipping,Yes,Yes,14.0,PayPal,Monthly,1064.0
151,35,Male,Boots,Footwear,96.0,California,L,Cyan,Fall,4.9,Yes,Bank Transfer,Standard,Yes,Yes,17.0,Debit Card,Every 3 Months,1632.0
152,28,Male,Sunglasses,Accessories,47.0,North Dakota,L,Turquoise,Fall,4.5,Yes,Debit Card,Next Day Air,Yes,Yes,3.0,Venmo,Annually,141.0
153,30,Male,Shirt,Clothing,85.0,South Carolina,S,Brown,Summer,4.3,Yes,PayPal,Express,Yes,Yes,42.0,Venmo,Annually,3570.0
154,69,Male,Hoodie,Clothing,55.0,North Carolina,M,Maroon,Winter,3.2,Yes,Debit Card,Standard,Yes,Yes,22.0,Debit Card,Annually,1210.0
155,41,Male,Dress,Clothing,98.0,Oklahoma,M,Charcoal,Fall,3.6,Yes,Debit Card,Next Day Air,Yes,Yes,21.0,Venmo,Quarterly,2058.0
156,63,Male,Socks,Clothing,77.0,Maine,S,Olive,Spring,4.3,Yes,Cash,Free Shipping,Yes,Yes,21.0,Bank Transfer,Quarterly,1617.0
157,35,Male,Shorts,Clothing,26.0,Missouri,M,Lavender,Fall,4.0,Yes,Venmo,Standard,Yes,Yes,40.0,Debit Card,Annually,1040.0
158,36,Male,Hat,Accessories,68.0,Vermont,S,Yellow,Fall,3.0,Yes,Debit Card,Next Day Air,Yes,Yes,1.0,Bank Transfer,Fortnightly,68.0
159,25,Male,Shirt,Clothing,73.0,Connecticut,XL,Teal,Fall,4.1,Yes,Bank Transfer,Standard,Yes,Yes,50.0,Bank Transfer,Monthly,3650.0
160,58,Male,Gloves,Accessories,27.0,New Hampshire,M,Charcoal,Fall,3.8,Yes,Debit Card,Store Pickup,Yes,Yes,39.0,Bank Transfer,Every 3 Months,1053.0
161,27,Male,Gloves,Accessories,23.0,Texas,M,Orange,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,34.0,Venmo,Monthly,782.0
162,65,Male,Backpack,Accessories,49.0,North Dakota,M,Olive,Fall,3.0,Yes,Venmo,Express,Yes,Yes,29.0,Venmo,Fortnightly,1421.0
